loaddate,uniqueid,workorder,length,width,color,description
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10266755,25514073,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10274825,25521479,95.875,21,TW ,0800X21 25P RR PAN TW F       
1/18/2024,10274826,25521480,95.875,21,TW ,0800X21 25P RR PAN TW F       
1/18/2024,10274826,25521480,95.875,21,TW ,0800X21 25P RR PAN TW F       
1/18/2024,10274826,25521480,95.875,21,TW ,0800X21 25P RR PAN TW F       
1/18/2024,10274826,25521480,95.875,21,TW ,0800X21 25P RR PAN TW F       
1/18/2024,10274826,25521480,95.875,21,TW ,0800X21 25P RR PAN TW F       
1/18/2024,10274849,25521497,95.875,21,TW ,0800X21 25P RR PAN TW F       
1/18/2024,10274849,25521497,95.875,21,TW ,0800X21 25P RR PAN TW F       
1/18/2024,10274849,25521497,95.875,21,TW ,0800X21 25P RR PAN TW F       
1/18/2024,10275146,25521709,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10276298,25523048,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10276299,25523049,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10276300,25523050,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10281942,25529517,215.875,21,TW ,1800X21 25P RR PAN TW SL      
1/18/2024,10282273,25531023,191.875,18,ST ,1600X18 25P RR PAN ST F       
1/18/2024,10293580,25539306,191.875,21,WK ,1600X21 25P RR PAN WK F       
1/18/2024,10264688,25512337,191.875,21,WK ,1600X21 25P RR PAN WK F       
1/18/2024,10264690,25512218,95.875,21,TW ,0800X21 25P RR PAN TW F       
1/18/2024,10264689,25512218,95.875,21,TW ,0800X21 25P RR PAN TW F       
1/18/2024,10264691,25512243,95.875,18,TW ,0800X18 25P RR PAN TW F       
1/18/2024,10264692,25512224,107.875,21,DN ,0900X21 25P RR PAN DN F       
1/18/2024,10264693,25512255,191.875,21,BL ,1600X21 24G RR PAN BL SL      
1/18/2024,10264694,25512307,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264695,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264696,25512346,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264697,25512354,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264699,25512350,107.875,21,AL ,0900X21 25P RR PAN AL SL      
1/18/2024,10264698,25512350,107.875,21,AL ,0900X21 25P RR PAN AL SL      
1/18/2024,10264700,25512388,107.875,21,TW ,0900X21 25P RR PAN TW F       
1/18/2024,10264701,25512307,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264702,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264706,25512378,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264705,25512378,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264704,25512378,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264703,25512378,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264707,25512354,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264709,25512504,95.875,21,TW ,0800X21 25P RR PAN TW F       
1/18/2024,10264708,25512504,95.875,21,TW ,0800X21 25P RR PAN TW F       
1/18/2024,10264710,25512444,191.875,21,TW ,1600X21 24G RR PAN TW SL      
1/18/2024,10264711,25512487,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264714,25512487,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264712,25512487,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264713,25512487,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264716,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264715,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264717,25512497,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264718,25512584,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264719,25512632,167.875,21,TW ,1400X21 25P RR PAN TW SL      
1/18/2024,10264720,25512673,215.875,21,TW ,1800X21 25P RR PAN TW SL      
1/18/2024,10264721,25512652,215.875,21,DN ,1800X21 25P RR PAN DN SL      
1/18/2024,10264722,25512636,239.875,21,DN ,2000X21 25P RR PAN DN SL      
1/18/2024,10264724,25512636,239.875,21,DN ,2000X21 25P RR PAN DN SL      
1/18/2024,10264723,25512636,239.875,21,DN ,2000X21 25P RR PAN DN SL      
1/18/2024,10264726,25512643,239.875,18,DN ,2000X18 25P RR PAN DN F       
1/18/2024,10264725,25512643,239.875,18,DN ,2000X18 25P RR PAN DN F       
1/18/2024,10264729,25512705,107.875,21,TW ,0900X21 25P RR PAN TW F       
1/18/2024,10264728,25512705,107.875,21,TW ,0900X21 25P RR PAN TW F       
1/18/2024,10264727,25512705,107.875,21,TW ,0900X21 25P RR PAN TW F       
1/18/2024,10264733,25512689,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264732,25512689,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264731,25512689,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264730,25512689,107.875,21,TW ,0900X21 25P RR PAN TW SL      
