ID,Value,Decision,FeatureName,TimeStamp
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
38,4.204,0,Tongue Lower Leg Height,2024-04-03 00:09:31.321026
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
38,4.204,0,Tongue Lower Leg Height,2024-04-03 00:09:31.321026
43,11.097,0,Tongue Width,2024-04-03 00:09:31.324032
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
38,4.204,0,Tongue Lower Leg Height,2024-04-03 00:09:31.321026
43,11.097,0,Tongue Width,2024-04-03 00:09:31.324032
50,6.18,0,"Tongue Width, Upper",2024-04-03 00:09:31.328027
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
38,4.204,0,Tongue Lower Leg Height,2024-04-03 00:09:31.321026
43,11.097,0,Tongue Width,2024-04-03 00:09:31.324032
50,6.18,0,"Tongue Width, Upper",2024-04-03 00:09:31.328027
63,0.742,0,Groove Upper Bump Height,2024-04-03 00:09:31.331027
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
38,4.204,0,Tongue Lower Leg Height,2024-04-03 00:09:31.321026
43,11.097,0,Tongue Width,2024-04-03 00:09:31.324032
50,6.18,0,"Tongue Width, Upper",2024-04-03 00:09:31.328027
63,0.742,0,Groove Upper Bump Height,2024-04-03 00:09:31.331027
66,7.232,1,Groove upper Claw Height,2024-04-03 00:09:31.336620
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
38,4.204,0,Tongue Lower Leg Height,2024-04-03 00:09:31.321026
43,11.097,0,Tongue Width,2024-04-03 00:09:31.324032
50,6.18,0,"Tongue Width, Upper",2024-04-03 00:09:31.328027
63,0.742,0,Groove Upper Bump Height,2024-04-03 00:09:31.331027
66,7.232,1,Groove upper Claw Height,2024-04-03 00:09:31.336620
68,46.397,1,Groove Height,2024-04-03 00:09:31.343580
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
38,4.204,0,Tongue Lower Leg Height,2024-04-03 00:09:31.321026
43,11.097,0,Tongue Width,2024-04-03 00:09:31.324032
50,6.18,0,"Tongue Width, Upper",2024-04-03 00:09:31.328027
63,0.742,0,Groove Upper Bump Height,2024-04-03 00:09:31.331027
66,7.232,1,Groove upper Claw Height,2024-04-03 00:09:31.336620
68,46.397,1,Groove Height,2024-04-03 00:09:31.343580
77,4.12,0,"Groove Width, Outer",2024-04-03 00:09:31.349656
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
38,4.204,0,Tongue Lower Leg Height,2024-04-03 00:09:31.321026
43,11.097,0,Tongue Width,2024-04-03 00:09:31.324032
50,6.18,0,"Tongue Width, Upper",2024-04-03 00:09:31.328027
63,0.742,0,Groove Upper Bump Height,2024-04-03 00:09:31.331027
66,7.232,1,Groove upper Claw Height,2024-04-03 00:09:31.336620
68,46.397,1,Groove Height,2024-04-03 00:09:31.343580
77,4.12,0,"Groove Width, Outer",2024-04-03 00:09:31.349656
80,12.041,0,"Groove Width, Inner",2024-04-03 00:09:31.352656
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
38,4.204,0,Tongue Lower Leg Height,2024-04-03 00:09:31.321026
43,11.097,0,Tongue Width,2024-04-03 00:09:31.324032
50,6.18,0,"Tongue Width, Upper",2024-04-03 00:09:31.328027
63,0.742,0,Groove Upper Bump Height,2024-04-03 00:09:31.331027
66,7.232,1,Groove upper Claw Height,2024-04-03 00:09:31.336620
68,46.397,1,Groove Height,2024-04-03 00:09:31.343580
77,4.12,0,"Groove Width, Outer",2024-04-03 00:09:31.349656
80,12.041,0,"Groove Width, Inner",2024-04-03 00:09:31.352656
90,35.525,0,"Groove Seat Distance, Inner",2024-04-03 00:09:31.355658
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
38,4.204,0,Tongue Lower Leg Height,2024-04-03 00:09:31.321026
43,11.097,0,Tongue Width,2024-04-03 00:09:31.324032
50,6.18,0,"Tongue Width, Upper",2024-04-03 00:09:31.328027
63,0.742,0,Groove Upper Bump Height,2024-04-03 00:09:31.331027
66,7.232,1,Groove upper Claw Height,2024-04-03 00:09:31.336620
68,46.397,1,Groove Height,2024-04-03 00:09:31.343580
77,4.12,0,"Groove Width, Outer",2024-04-03 00:09:31.349656
80,12.041,0,"Groove Width, Inner",2024-04-03 00:09:31.352656
90,35.525,0,"Groove Seat Distance, Inner",2024-04-03 00:09:31.355658
96,32.996,0,"Groove Seat Distance, Outer",2024-04-03 00:09:31.358658
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
38,4.204,0,Tongue Lower Leg Height,2024-04-03 00:09:31.321026
43,11.097,0,Tongue Width,2024-04-03 00:09:31.324032
50,6.18,0,"Tongue Width, Upper",2024-04-03 00:09:31.328027
63,0.742,0,Groove Upper Bump Height,2024-04-03 00:09:31.331027
66,7.232,1,Groove upper Claw Height,2024-04-03 00:09:31.336620
68,46.397,1,Groove Height,2024-04-03 00:09:31.343580
77,4.12,0,"Groove Width, Outer",2024-04-03 00:09:31.349656
80,12.041,0,"Groove Width, Inner",2024-04-03 00:09:31.352656
90,35.525,0,"Groove Seat Distance, Inner",2024-04-03 00:09:31.355658
96,32.996,0,"Groove Seat Distance, Outer",2024-04-03 00:09:31.358658
100,1.886,0,"Groove Radius, Lower Inner",2024-04-03 00:09:31.361656
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
38,4.204,0,Tongue Lower Leg Height,2024-04-03 00:09:31.321026
43,11.097,0,Tongue Width,2024-04-03 00:09:31.324032
50,6.18,0,"Tongue Width, Upper",2024-04-03 00:09:31.328027
63,0.742,0,Groove Upper Bump Height,2024-04-03 00:09:31.331027
66,7.232,1,Groove upper Claw Height,2024-04-03 00:09:31.336620
68,46.397,1,Groove Height,2024-04-03 00:09:31.343580
77,4.12,0,"Groove Width, Outer",2024-04-03 00:09:31.349656
80,12.041,0,"Groove Width, Inner",2024-04-03 00:09:31.352656
90,35.525,0,"Groove Seat Distance, Inner",2024-04-03 00:09:31.355658
96,32.996,0,"Groove Seat Distance, Outer",2024-04-03 00:09:31.358658
100,1.886,0,"Groove Radius, Lower Inner",2024-04-03 00:09:31.361656
103,1.671,1,"Groove Radius, Middle",2024-04-03 00:09:31.371216
14,48.137,1,Tongue Leg Height,2024-04-03 00:09:31.292463
18,2.078,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.298461
23,-184.968,0,Clip length/Width,2024-04-03 00:09:31.303988
24,5.227,0,Clip length/Distance,2024-04-03 00:09:31.313024
32,39.502,0,Tongue Middle Leg Height,2024-04-03 00:09:31.316985
38,4.204,0,Tongue Lower Leg Height,2024-04-03 00:09:31.321026
43,11.097,0,Tongue Width,2024-04-03 00:09:31.324032
50,6.18,0,"Tongue Width, Upper",2024-04-03 00:09:31.328027
63,0.742,0,Groove Upper Bump Height,2024-04-03 00:09:31.331027
66,7.232,1,Groove upper Claw Height,2024-04-03 00:09:31.336620
68,46.397,1,Groove Height,2024-04-03 00:09:31.343580
77,4.12,0,"Groove Width, Outer",2024-04-03 00:09:31.349656
80,12.041,0,"Groove Width, Inner",2024-04-03 00:09:31.352656
90,35.525,0,"Groove Seat Distance, Inner",2024-04-03 00:09:31.355658
96,32.996,0,"Groove Seat Distance, Outer",2024-04-03 00:09:31.358658
100,1.886,0,"Groove Radius, Lower Inner",2024-04-03 00:09:31.361656
103,1.671,1,"Groove Radius, Middle",2024-04-03 00:09:31.371216
