ID,Value,Decision,FeatureName,TimeStamp
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
23,-183.002,0,Clip length/Width,2024-04-03 00:09:31.539384
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
23,-183.002,0,Clip length/Width,2024-04-03 00:09:31.539384
24,5.394,0,Clip length/Distance,2024-04-03 00:09:31.544419
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
23,-183.002,0,Clip length/Width,2024-04-03 00:09:31.539384
24,5.394,0,Clip length/Distance,2024-04-03 00:09:31.544419
32,39.286,1,Tongue Middle Leg Height,2024-04-03 00:09:31.548412
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
23,-183.002,0,Clip length/Width,2024-04-03 00:09:31.539384
24,5.394,0,Clip length/Distance,2024-04-03 00:09:31.544419
32,39.286,1,Tongue Middle Leg Height,2024-04-03 00:09:31.548412
38,4.51,0,Tongue Lower Leg Height,2024-04-03 00:09:31.553973
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
23,-183.002,0,Clip length/Width,2024-04-03 00:09:31.539384
24,5.394,0,Clip length/Distance,2024-04-03 00:09:31.544419
32,39.286,1,Tongue Middle Leg Height,2024-04-03 00:09:31.548412
38,4.51,0,Tongue Lower Leg Height,2024-04-03 00:09:31.553973
43,10.912,0,Tongue Width,2024-04-03 00:09:31.559937
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
23,-183.002,0,Clip length/Width,2024-04-03 00:09:31.539384
24,5.394,0,Clip length/Distance,2024-04-03 00:09:31.544419
32,39.286,1,Tongue Middle Leg Height,2024-04-03 00:09:31.548412
38,4.51,0,Tongue Lower Leg Height,2024-04-03 00:09:31.553973
43,10.912,0,Tongue Width,2024-04-03 00:09:31.559937
50,6.176,0,"Tongue Width, Upper",2024-04-03 00:09:31.565982
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
23,-183.002,0,Clip length/Width,2024-04-03 00:09:31.539384
24,5.394,0,Clip length/Distance,2024-04-03 00:09:31.544419
32,39.286,1,Tongue Middle Leg Height,2024-04-03 00:09:31.548412
38,4.51,0,Tongue Lower Leg Height,2024-04-03 00:09:31.553973
43,10.912,0,Tongue Width,2024-04-03 00:09:31.559937
50,6.176,0,"Tongue Width, Upper",2024-04-03 00:09:31.565982
63,0.763,0,Groove Upper Bump Height,2024-04-03 00:09:31.571002
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
23,-183.002,0,Clip length/Width,2024-04-03 00:09:31.539384
24,5.394,0,Clip length/Distance,2024-04-03 00:09:31.544419
32,39.286,1,Tongue Middle Leg Height,2024-04-03 00:09:31.548412
38,4.51,0,Tongue Lower Leg Height,2024-04-03 00:09:31.553973
43,10.912,0,Tongue Width,2024-04-03 00:09:31.559937
50,6.176,0,"Tongue Width, Upper",2024-04-03 00:09:31.565982
63,0.763,0,Groove Upper Bump Height,2024-04-03 00:09:31.571002
66,7.102,1,Groove upper Claw Height,2024-04-03 00:09:31.573995
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
23,-183.002,0,Clip length/Width,2024-04-03 00:09:31.539384
24,5.394,0,Clip length/Distance,2024-04-03 00:09:31.544419
32,39.286,1,Tongue Middle Leg Height,2024-04-03 00:09:31.548412
38,4.51,0,Tongue Lower Leg Height,2024-04-03 00:09:31.553973
43,10.912,0,Tongue Width,2024-04-03 00:09:31.559937
50,6.176,0,"Tongue Width, Upper",2024-04-03 00:09:31.565982
63,0.763,0,Groove Upper Bump Height,2024-04-03 00:09:31.571002
66,7.102,1,Groove upper Claw Height,2024-04-03 00:09:31.573995
68,46.395,1,Groove Height,2024-04-03 00:09:31.577992
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
23,-183.002,0,Clip length/Width,2024-04-03 00:09:31.539384
24,5.394,0,Clip length/Distance,2024-04-03 00:09:31.544419
32,39.286,1,Tongue Middle Leg Height,2024-04-03 00:09:31.548412
38,4.51,0,Tongue Lower Leg Height,2024-04-03 00:09:31.553973
43,10.912,0,Tongue Width,2024-04-03 00:09:31.559937
50,6.176,0,"Tongue Width, Upper",2024-04-03 00:09:31.565982
63,0.763,0,Groove Upper Bump Height,2024-04-03 00:09:31.571002
66,7.102,1,Groove upper Claw Height,2024-04-03 00:09:31.573995
68,46.395,1,Groove Height,2024-04-03 00:09:31.577992
77,-1.7976931348623157e+308,0,"Groove Width, Outer",2024-04-03 00:09:31.580995
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
23,-183.002,0,Clip length/Width,2024-04-03 00:09:31.539384
24,5.394,0,Clip length/Distance,2024-04-03 00:09:31.544419
32,39.286,1,Tongue Middle Leg Height,2024-04-03 00:09:31.548412
38,4.51,0,Tongue Lower Leg Height,2024-04-03 00:09:31.553973
43,10.912,0,Tongue Width,2024-04-03 00:09:31.559937
50,6.176,0,"Tongue Width, Upper",2024-04-03 00:09:31.565982
63,0.763,0,Groove Upper Bump Height,2024-04-03 00:09:31.571002
66,7.102,1,Groove upper Claw Height,2024-04-03 00:09:31.573995
68,46.395,1,Groove Height,2024-04-03 00:09:31.577992
77,-1.7976931348623157e+308,0,"Groove Width, Outer",2024-04-03 00:09:31.580995
80,-1.7976931348623157e+308,0,"Groove Width, Inner",2024-04-03 00:09:31.591559
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
23,-183.002,0,Clip length/Width,2024-04-03 00:09:31.539384
24,5.394,0,Clip length/Distance,2024-04-03 00:09:31.544419
32,39.286,1,Tongue Middle Leg Height,2024-04-03 00:09:31.548412
38,4.51,0,Tongue Lower Leg Height,2024-04-03 00:09:31.553973
43,10.912,0,Tongue Width,2024-04-03 00:09:31.559937
50,6.176,0,"Tongue Width, Upper",2024-04-03 00:09:31.565982
63,0.763,0,Groove Upper Bump Height,2024-04-03 00:09:31.571002
66,7.102,1,Groove upper Claw Height,2024-04-03 00:09:31.573995
68,46.395,1,Groove Height,2024-04-03 00:09:31.577992
77,-1.7976931348623157e+308,0,"Groove Width, Outer",2024-04-03 00:09:31.580995
80,-1.7976931348623157e+308,0,"Groove Width, Inner",2024-04-03 00:09:31.591559
90,35.356,0,"Groove Seat Distance, Inner",2024-04-03 00:09:31.597557
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.525379
18,3.204,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.533404
23,-183.002,0,Clip length/Width,2024-04-03 00:09:31.539384
24,5.394,0,Clip length/Distance,2024-04-03 00:09:31.544419
