ID,Value,Decision,FeatureName,TimeStamp
14,48.145,1,Tongue Leg Height,2024-04-03 00:09:31.408328
14,48.145,1,Tongue Leg Height,2024-04-03 00:09:31.408328
18,2.087,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.414368
14,48.145,1,Tongue Leg Height,2024-04-03 00:09:31.408328
18,2.087,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.414368
23,-156.049,0,Clip length/Width,2024-04-03 00:09:31.419365
14,48.145,1,Tongue Leg Height,2024-04-03 00:09:31.408328
18,2.087,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.414368
23,-156.049,0,Clip length/Width,2024-04-03 00:09:31.419365
24,5.4,0,Clip length/Distance,2024-04-03 00:09:31.422367
14,48.145,1,Tongue Leg Height,2024-04-03 00:09:31.408328
18,2.087,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.414368
23,-156.049,0,Clip length/Width,2024-04-03 00:09:31.419365
24,5.4,0,Clip length/Distance,2024-04-03 00:09:31.422367
32,39.519,0,Tongue Middle Leg Height,2024-04-03 00:09:31.440866
14,48.145,1,Tongue Leg Height,2024-04-03 00:09:31.408328
18,2.087,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.414368
23,-156.049,0,Clip length/Width,2024-04-03 00:09:31.419365
24,5.4,0,Clip length/Distance,2024-04-03 00:09:31.422367
32,39.519,0,Tongue Middle Leg Height,2024-04-03 00:09:31.440866
38,4.299,0,Tongue Lower Leg Height,2024-04-03 00:09:31.444874
14,48.145,1,Tongue Leg Height,2024-04-03 00:09:31.408328
18,2.087,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.414368
23,-156.049,0,Clip length/Width,2024-04-03 00:09:31.419365
24,5.4,0,Clip length/Distance,2024-04-03 00:09:31.422367
32,39.519,0,Tongue Middle Leg Height,2024-04-03 00:09:31.440866
38,4.299,0,Tongue Lower Leg Height,2024-04-03 00:09:31.444874
43,11.053,0,Tongue Width,2024-04-03 00:09:31.448910
14,48.145,1,Tongue Leg Height,2024-04-03 00:09:31.408328
18,2.087,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.414368
23,-156.049,0,Clip length/Width,2024-04-03 00:09:31.419365
24,5.4,0,Clip length/Distance,2024-04-03 00:09:31.422367
32,39.519,0,Tongue Middle Leg Height,2024-04-03 00:09:31.440866
38,4.299,0,Tongue Lower Leg Height,2024-04-03 00:09:31.444874
43,11.053,0,Tongue Width,2024-04-03 00:09:31.448910
50,6.058,0,"Tongue Width, Upper",2024-04-03 00:09:31.451907
14,48.145,1,Tongue Leg Height,2024-04-03 00:09:31.408328
18,2.087,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.414368
23,-156.049,0,Clip length/Width,2024-04-03 00:09:31.419365
24,5.4,0,Clip length/Distance,2024-04-03 00:09:31.422367
32,39.519,0,Tongue Middle Leg Height,2024-04-03 00:09:31.440866
38,4.299,0,Tongue Lower Leg Height,2024-04-03 00:09:31.444874
43,11.053,0,Tongue Width,2024-04-03 00:09:31.448910
50,6.058,0,"Tongue Width, Upper",2024-04-03 00:09:31.451907
63,0.744,0,Groove Upper Bump Height,2024-04-03 00:09:31.454905
14,48.145,1,Tongue Leg Height,2024-04-03 00:09:31.408328
18,2.087,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.414368
23,-156.049,0,Clip length/Width,2024-04-03 00:09:31.419365
24,5.4,0,Clip length/Distance,2024-04-03 00:09:31.422367
32,39.519,0,Tongue Middle Leg Height,2024-04-03 00:09:31.440866
38,4.299,0,Tongue Lower Leg Height,2024-04-03 00:09:31.444874
43,11.053,0,Tongue Width,2024-04-03 00:09:31.448910
50,6.058,0,"Tongue Width, Upper",2024-04-03 00:09:31.451907
63,0.744,0,Groove Upper Bump Height,2024-04-03 00:09:31.454905
66,7.161,1,Groove upper Claw Height,2024-04-03 00:09:31.459470
14,48.145,1,Tongue Leg Height,2024-04-03 00:09:31.408328
18,2.087,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.414368
23,-156.049,0,Clip length/Width,2024-04-03 00:09:31.419365
24,5.4,0,Clip length/Distance,2024-04-03 00:09:31.422367
32,39.519,0,Tongue Middle Leg Height,2024-04-03 00:09:31.440866
38,4.299,0,Tongue Lower Leg Height,2024-04-03 00:09:31.444874
43,11.053,0,Tongue Width,2024-04-03 00:09:31.448910
50,6.058,0,"Tongue Width, Upper",2024-04-03 00:09:31.451907
63,0.744,0,Groove Upper Bump Height,2024-04-03 00:09:31.454905
66,7.161,1,Groove upper Claw Height,2024-04-03 00:09:31.459470
68,46.23,1,Groove Height,2024-04-03 00:09:31.466497
14,48.145,1,Tongue Leg Height,2024-04-03 00:09:31.408328
18,2.087,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.414368
23,-156.049,0,Clip length/Width,2024-04-03 00:09:31.419365
24,5.4,0,Clip length/Distance,2024-04-03 00:09:31.422367
32,39.519,0,Tongue Middle Leg Height,2024-04-03 00:09:31.440866
38,4.299,0,Tongue Lower Leg Height,2024-04-03 00:09:31.444874
43,11.053,0,Tongue Width,2024-04-03 00:09:31.448910
50,6.058,0,"Tongue Width, Upper",2024-04-03 00:09:31.451907
63,0.744,0,Groove Upper Bump Height,2024-04-03 00:09:31.454905
66,7.161,1,Groove upper Claw Height,2024-04-03 00:09:31.459470
68,46.23,1,Groove Height,2024-04-03 00:09:31.466497
77,4.455,0,"Groove Width, Outer",2024-04-03 00:09:31.471472
14,48.145,1,Tongue Leg Height,2024-04-03 00:09:31.408328
18,2.087,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.414368
23,-156.049,0,Clip length/Width,2024-04-03 00:09:31.419365
24,5.4,0,Clip length/Distance,2024-04-03 00:09:31.422367
