ID,Value,Decision,FeatureName,TimeStamp
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
24,5.132,0,Clip length/Distance,2024-04-03 00:09:30.605551
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
24,5.132,0,Clip length/Distance,2024-04-03 00:09:30.605551
32,39.723,0,Tongue Middle Leg Height,2024-04-03 00:09:30.610088
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
24,5.132,0,Clip length/Distance,2024-04-03 00:09:30.605551
32,39.723,0,Tongue Middle Leg Height,2024-04-03 00:09:30.610088
38,3.952,1,Tongue Lower Leg Height,2024-04-03 00:09:30.614382
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
24,5.132,0,Clip length/Distance,2024-04-03 00:09:30.605551
32,39.723,0,Tongue Middle Leg Height,2024-04-03 00:09:30.610088
38,3.952,1,Tongue Lower Leg Height,2024-04-03 00:09:30.614382
43,10.923,0,Tongue Width,2024-04-03 00:09:30.620333
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
24,5.132,0,Clip length/Distance,2024-04-03 00:09:30.605551
32,39.723,0,Tongue Middle Leg Height,2024-04-03 00:09:30.610088
38,3.952,1,Tongue Lower Leg Height,2024-04-03 00:09:30.614382
43,10.923,0,Tongue Width,2024-04-03 00:09:30.620333
50,5.748,1,"Tongue Width, Upper",2024-04-03 00:09:30.627070
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
24,5.132,0,Clip length/Distance,2024-04-03 00:09:30.605551
32,39.723,0,Tongue Middle Leg Height,2024-04-03 00:09:30.610088
38,3.952,1,Tongue Lower Leg Height,2024-04-03 00:09:30.614382
43,10.923,0,Tongue Width,2024-04-03 00:09:30.620333
50,5.748,1,"Tongue Width, Upper",2024-04-03 00:09:30.627070
63,0.694,0,Groove Upper Bump Height,2024-04-03 00:09:30.630610
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
24,5.132,0,Clip length/Distance,2024-04-03 00:09:30.605551
32,39.723,0,Tongue Middle Leg Height,2024-04-03 00:09:30.610088
38,3.952,1,Tongue Lower Leg Height,2024-04-03 00:09:30.614382
43,10.923,0,Tongue Width,2024-04-03 00:09:30.620333
50,5.748,1,"Tongue Width, Upper",2024-04-03 00:09:30.627070
63,0.694,0,Groove Upper Bump Height,2024-04-03 00:09:30.630610
66,7.162,1,Groove upper Claw Height,2024-04-03 00:09:30.635146
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
24,5.132,0,Clip length/Distance,2024-04-03 00:09:30.605551
32,39.723,0,Tongue Middle Leg Height,2024-04-03 00:09:30.610088
38,3.952,1,Tongue Lower Leg Height,2024-04-03 00:09:30.614382
43,10.923,0,Tongue Width,2024-04-03 00:09:30.620333
50,5.748,1,"Tongue Width, Upper",2024-04-03 00:09:30.627070
63,0.694,0,Groove Upper Bump Height,2024-04-03 00:09:30.630610
66,7.162,1,Groove upper Claw Height,2024-04-03 00:09:30.635146
68,46.119,1,Groove Height,2024-04-03 00:09:30.639670
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
24,5.132,0,Clip length/Distance,2024-04-03 00:09:30.605551
32,39.723,0,Tongue Middle Leg Height,2024-04-03 00:09:30.610088
38,3.952,1,Tongue Lower Leg Height,2024-04-03 00:09:30.614382
43,10.923,0,Tongue Width,2024-04-03 00:09:30.620333
50,5.748,1,"Tongue Width, Upper",2024-04-03 00:09:30.627070
63,0.694,0,Groove Upper Bump Height,2024-04-03 00:09:30.630610
66,7.162,1,Groove upper Claw Height,2024-04-03 00:09:30.635146
68,46.119,1,Groove Height,2024-04-03 00:09:30.639670
77,5.27,1,"Groove Width, Outer",2024-04-03 00:09:30.643665
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
24,5.132,0,Clip length/Distance,2024-04-03 00:09:30.605551
32,39.723,0,Tongue Middle Leg Height,2024-04-03 00:09:30.610088
38,3.952,1,Tongue Lower Leg Height,2024-04-03 00:09:30.614382
43,10.923,0,Tongue Width,2024-04-03 00:09:30.620333
50,5.748,1,"Tongue Width, Upper",2024-04-03 00:09:30.627070
63,0.694,0,Groove Upper Bump Height,2024-04-03 00:09:30.630610
66,7.162,1,Groove upper Claw Height,2024-04-03 00:09:30.635146
68,46.119,1,Groove Height,2024-04-03 00:09:30.639670
77,5.27,1,"Groove Width, Outer",2024-04-03 00:09:30.643665
80,13.14,0,"Groove Width, Inner",2024-04-03 00:09:30.652026
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
24,5.132,0,Clip length/Distance,2024-04-03 00:09:30.605551
32,39.723,0,Tongue Middle Leg Height,2024-04-03 00:09:30.610088
38,3.952,1,Tongue Lower Leg Height,2024-04-03 00:09:30.614382
43,10.923,0,Tongue Width,2024-04-03 00:09:30.620333
50,5.748,1,"Tongue Width, Upper",2024-04-03 00:09:30.627070
63,0.694,0,Groove Upper Bump Height,2024-04-03 00:09:30.630610
66,7.162,1,Groove upper Claw Height,2024-04-03 00:09:30.635146
68,46.119,1,Groove Height,2024-04-03 00:09:30.639670
77,5.27,1,"Groove Width, Outer",2024-04-03 00:09:30.643665
80,13.14,0,"Groove Width, Inner",2024-04-03 00:09:30.652026
90,35.468,0,"Groove Seat Distance, Inner",2024-04-03 00:09:30.656584
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
24,5.132,0,Clip length/Distance,2024-04-03 00:09:30.605551
32,39.723,0,Tongue Middle Leg Height,2024-04-03 00:09:30.610088
38,3.952,1,Tongue Lower Leg Height,2024-04-03 00:09:30.614382
43,10.923,0,Tongue Width,2024-04-03 00:09:30.620333
50,5.748,1,"Tongue Width, Upper",2024-04-03 00:09:30.627070
63,0.694,0,Groove Upper Bump Height,2024-04-03 00:09:30.630610
66,7.162,1,Groove upper Claw Height,2024-04-03 00:09:30.635146
68,46.119,1,Groove Height,2024-04-03 00:09:30.639670
77,5.27,1,"Groove Width, Outer",2024-04-03 00:09:30.643665
80,13.14,0,"Groove Width, Inner",2024-04-03 00:09:30.652026
90,35.468,0,"Groove Seat Distance, Inner",2024-04-03 00:09:30.656584
96,32.958,0,"Groove Seat Distance, Outer",2024-04-03 00:09:30.661170
14,48.901,0,Tongue Leg Height,2024-04-03 00:09:30.590427
18,2.17,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.596699
23,-116.652,0,Clip length/Width,2024-04-03 00:09:30.600637
24,5.132,0,Clip length/Distance,2024-04-03 00:09:30.605551
32,39.723,0,Tongue Middle Leg Height,2024-04-03 00:09:30.610088
38,3.952,1,Tongue Lower Leg Height,2024-04-03 00:09:30.614382
43,10.923,0,Tongue Width,2024-04-03 00:09:30.620333
50,5.748,1,"Tongue Width, Upper",2024-04-03 00:09:30.627070
63,0.694,0,Groove Upper Bump Height,2024-04-03 00:09:30.630610
66,7.162,1,Groove upper Claw Height,2024-04-03 00:09:30.635146
68,46.119,1,Groove Height,2024-04-03 00:09:30.639670
