ID,Value,Decision,FeatureName,TimeStamp
14,48.716,0,Tongue Leg Height,2024-04-03 00:09:30.711545
14,48.716,0,Tongue Leg Height,2024-04-03 00:09:30.711545
18,2.092,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.718546
14,48.716,0,Tongue Leg Height,2024-04-03 00:09:30.711545
18,2.092,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.718546
23,-422.222,0,Clip length/Width,2024-04-03 00:09:30.722545
14,48.716,0,Tongue Leg Height,2024-04-03 00:09:30.711545
18,2.092,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.718546
23,-422.222,0,Clip length/Width,2024-04-03 00:09:30.722545
24,4.844,0,Clip length/Distance,2024-04-03 00:09:30.726561
14,48.716,0,Tongue Leg Height,2024-04-03 00:09:30.711545
18,2.092,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.718546
23,-422.222,0,Clip length/Width,2024-04-03 00:09:30.722545
24,4.844,0,Clip length/Distance,2024-04-03 00:09:30.726561
32,30.057,0,Tongue Middle Leg Height,2024-04-03 00:09:30.731560
14,48.716,0,Tongue Leg Height,2024-04-03 00:09:30.711545
18,2.092,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.718546
23,-422.222,0,Clip length/Width,2024-04-03 00:09:30.722545
24,4.844,0,Clip length/Distance,2024-04-03 00:09:30.726561
32,30.057,0,Tongue Middle Leg Height,2024-04-03 00:09:30.731560
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.734557
14,48.716,0,Tongue Leg Height,2024-04-03 00:09:30.711545
18,2.092,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.718546
23,-422.222,0,Clip length/Width,2024-04-03 00:09:30.722545
24,4.844,0,Clip length/Distance,2024-04-03 00:09:30.726561
32,30.057,0,Tongue Middle Leg Height,2024-04-03 00:09:30.731560
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.734557
43,-1.7976931348623157e+308,0,Tongue Width,2024-04-03 00:09:30.739064
14,48.716,0,Tongue Leg Height,2024-04-03 00:09:30.711545
18,2.092,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.718546
23,-422.222,0,Clip length/Width,2024-04-03 00:09:30.722545
24,4.844,0,Clip length/Distance,2024-04-03 00:09:30.726561
32,30.057,0,Tongue Middle Leg Height,2024-04-03 00:09:30.731560
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.734557
43,-1.7976931348623157e+308,0,Tongue Width,2024-04-03 00:09:30.739064
50,-1.7976931348623157e+308,0,"Tongue Width, Upper",2024-04-03 00:09:30.745078
14,48.716,0,Tongue Leg Height,2024-04-03 00:09:30.711545
18,2.092,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.718546
23,-422.222,0,Clip length/Width,2024-04-03 00:09:30.722545
24,4.844,0,Clip length/Distance,2024-04-03 00:09:30.726561
32,30.057,0,Tongue Middle Leg Height,2024-04-03 00:09:30.731560
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.734557
43,-1.7976931348623157e+308,0,Tongue Width,2024-04-03 00:09:30.739064
50,-1.7976931348623157e+308,0,"Tongue Width, Upper",2024-04-03 00:09:30.745078
63,0.732,0,Groove Upper Bump Height,2024-04-03 00:09:30.754095
14,48.716,0,Tongue Leg Height,2024-04-03 00:09:30.711545
18,2.092,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.718546
23,-422.222,0,Clip length/Width,2024-04-03 00:09:30.722545
24,4.844,0,Clip length/Distance,2024-04-03 00:09:30.726561
32,30.057,0,Tongue Middle Leg Height,2024-04-03 00:09:30.731560
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.734557
43,-1.7976931348623157e+308,0,Tongue Width,2024-04-03 00:09:30.739064
50,-1.7976931348623157e+308,0,"Tongue Width, Upper",2024-04-03 00:09:30.745078
63,0.732,0,Groove Upper Bump Height,2024-04-03 00:09:30.754095
66,7.293,1,Groove upper Claw Height,2024-04-03 00:09:30.769131
14,48.716,0,Tongue Leg Height,2024-04-03 00:09:30.711545
18,2.092,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.718546
23,-422.222,0,Clip length/Width,2024-04-03 00:09:30.722545
24,4.844,0,Clip length/Distance,2024-04-03 00:09:30.726561
32,30.057,0,Tongue Middle Leg Height,2024-04-03 00:09:30.731560
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.734557
43,-1.7976931348623157e+308,0,Tongue Width,2024-04-03 00:09:30.739064
50,-1.7976931348623157e+308,0,"Tongue Width, Upper",2024-04-03 00:09:30.745078
63,0.732,0,Groove Upper Bump Height,2024-04-03 00:09:30.754095
66,7.293,1,Groove upper Claw Height,2024-04-03 00:09:30.769131
68,-1.7976931348623157e+308,0,Groove Height,2024-04-03 00:09:30.777659
14,48.716,0,Tongue Leg Height,2024-04-03 00:09:30.711545
18,2.092,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.718546
