ID,Value,Decision,FeatureName,TimeStamp
14,48.787,0,Tongue Leg Height,2024-04-03 00:09:31.184890
14,48.787,0,Tongue Leg Height,2024-04-03 00:09:31.184890
18,2.29,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.193760
14,48.787,0,Tongue Leg Height,2024-04-03 00:09:31.184890
18,2.29,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.193760
23,-131.291,0,Clip length/Width,2024-04-03 00:09:31.198728
14,48.787,0,Tongue Leg Height,2024-04-03 00:09:31.184890
18,2.29,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.193760
23,-131.291,0,Clip length/Width,2024-04-03 00:09:31.198728
24,5.101,0,Clip length/Distance,2024-04-03 00:09:31.202727
14,48.787,0,Tongue Leg Height,2024-04-03 00:09:31.184890
18,2.29,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.193760
23,-131.291,0,Clip length/Width,2024-04-03 00:09:31.198728
24,5.101,0,Clip length/Distance,2024-04-03 00:09:31.202727
32,39.499,0,Tongue Middle Leg Height,2024-04-03 00:09:31.206725
14,48.787,0,Tongue Leg Height,2024-04-03 00:09:31.184890
18,2.29,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.193760
23,-131.291,0,Clip length/Width,2024-04-03 00:09:31.198728
24,5.101,0,Clip length/Distance,2024-04-03 00:09:31.202727
32,39.499,0,Tongue Middle Leg Height,2024-04-03 00:09:31.206725
38,4.122,1,Tongue Lower Leg Height,2024-04-03 00:09:31.215256
14,48.787,0,Tongue Leg Height,2024-04-03 00:09:31.184890
18,2.29,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.193760
23,-131.291,0,Clip length/Width,2024-04-03 00:09:31.198728
24,5.101,0,Clip length/Distance,2024-04-03 00:09:31.202727
32,39.499,0,Tongue Middle Leg Height,2024-04-03 00:09:31.206725
38,4.122,1,Tongue Lower Leg Height,2024-04-03 00:09:31.215256
43,10.893,0,Tongue Width,2024-04-03 00:09:31.221285
14,48.787,0,Tongue Leg Height,2024-04-03 00:09:31.184890
18,2.29,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.193760
23,-131.291,0,Clip length/Width,2024-04-03 00:09:31.198728
24,5.101,0,Clip length/Distance,2024-04-03 00:09:31.202727
32,39.499,0,Tongue Middle Leg Height,2024-04-03 00:09:31.206725
38,4.122,1,Tongue Lower Leg Height,2024-04-03 00:09:31.215256
43,10.893,0,Tongue Width,2024-04-03 00:09:31.221285
50,5.64,0,"Tongue Width, Upper",2024-04-03 00:09:31.224330
14,48.787,0,Tongue Leg Height,2024-04-03 00:09:31.184890
18,2.29,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.193760
23,-131.291,0,Clip length/Width,2024-04-03 00:09:31.198728
24,5.101,0,Clip length/Distance,2024-04-03 00:09:31.202727
32,39.499,0,Tongue Middle Leg Height,2024-04-03 00:09:31.206725
38,4.122,1,Tongue Lower Leg Height,2024-04-03 00:09:31.215256
43,10.893,0,Tongue Width,2024-04-03 00:09:31.221285
50,5.64,0,"Tongue Width, Upper",2024-04-03 00:09:31.224330
63,-1.7976931348623157e+308,0,Groove Upper Bump Height,2024-04-03 00:09:31.227329
14,48.787,0,Tongue Leg Height,2024-04-03 00:09:31.184890
18,2.29,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.193760
23,-131.291,0,Clip length/Width,2024-04-03 00:09:31.198728
24,5.101,0,Clip length/Distance,2024-04-03 00:09:31.202727
32,39.499,0,Tongue Middle Leg Height,2024-04-03 00:09:31.206725
38,4.122,1,Tongue Lower Leg Height,2024-04-03 00:09:31.215256
43,10.893,0,Tongue Width,2024-04-03 00:09:31.221285
50,5.64,0,"Tongue Width, Upper",2024-04-03 00:09:31.224330
63,-1.7976931348623157e+308,0,Groove Upper Bump Height,2024-04-03 00:09:31.227329
66,7.071,1,Groove upper Claw Height,2024-04-03 00:09:31.230326
14,48.787,0,Tongue Leg Height,2024-04-03 00:09:31.184890
18,2.29,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.193760
23,-131.291,0,Clip length/Width,2024-04-03 00:09:31.198728
24,5.101,0,Clip length/Distance,2024-04-03 00:09:31.202727
32,39.499,0,Tongue Middle Leg Height,2024-04-03 00:09:31.206725
38,4.122,1,Tongue Lower Leg Height,2024-04-03 00:09:31.215256
43,10.893,0,Tongue Width,2024-04-03 00:09:31.221285
50,5.64,0,"Tongue Width, Upper",2024-04-03 00:09:31.224330
63,-1.7976931348623157e+308,0,Groove Upper Bump Height,2024-04-03 00:09:31.227329
66,7.071,1,Groove upper Claw Height,2024-04-03 00:09:31.230326
68,44.799,1,Groove Height,2024-04-03 00:09:31.233327
14,48.787,0,Tongue Leg Height,2024-04-03 00:09:31.184890
18,2.29,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.193760
23,-131.291,0,Clip length/Width,2024-04-03 00:09:31.198728
24,5.101,0,Clip length/Distance,2024-04-03 00:09:31.202727
32,39.499,0,Tongue Middle Leg Height,2024-04-03 00:09:31.206725
