ID,Value,Decision,FeatureName,TimeStamp
14,48.735,0,Tongue Leg Height,2024-04-03 00:09:30.910860
14,48.735,0,Tongue Leg Height,2024-04-03 00:09:30.910860
18,2.109,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.917870
14,48.735,0,Tongue Leg Height,2024-04-03 00:09:30.910860
18,2.109,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.917870
23,-523.183,0,Clip length/Width,2024-04-03 00:09:30.922875
14,48.735,0,Tongue Leg Height,2024-04-03 00:09:30.910860
18,2.109,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.917870
23,-523.183,0,Clip length/Width,2024-04-03 00:09:30.922875
24,4.825,0,Clip length/Distance,2024-04-03 00:09:30.949432
14,48.735,0,Tongue Leg Height,2024-04-03 00:09:30.910860
18,2.109,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.917870
23,-523.183,0,Clip length/Width,2024-04-03 00:09:30.922875
24,4.825,0,Clip length/Distance,2024-04-03 00:09:30.949432
32,29.876,0,Tongue Middle Leg Height,2024-04-03 00:09:30.953431
14,48.735,0,Tongue Leg Height,2024-04-03 00:09:30.910860
18,2.109,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.917870
23,-523.183,0,Clip length/Width,2024-04-03 00:09:30.922875
24,4.825,0,Clip length/Distance,2024-04-03 00:09:30.949432
32,29.876,0,Tongue Middle Leg Height,2024-04-03 00:09:30.953431
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.957943
14,48.735,0,Tongue Leg Height,2024-04-03 00:09:30.910860
18,2.109,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.917870
23,-523.183,0,Clip length/Width,2024-04-03 00:09:30.922875
24,4.825,0,Clip length/Distance,2024-04-03 00:09:30.949432
32,29.876,0,Tongue Middle Leg Height,2024-04-03 00:09:30.953431
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.957943
43,-1.7976931348623157e+308,0,Tongue Width,2024-04-03 00:09:30.964957
14,48.735,0,Tongue Leg Height,2024-04-03 00:09:30.910860
18,2.109,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.917870
23,-523.183,0,Clip length/Width,2024-04-03 00:09:30.922875
24,4.825,0,Clip length/Distance,2024-04-03 00:09:30.949432
32,29.876,0,Tongue Middle Leg Height,2024-04-03 00:09:30.953431
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.957943
43,-1.7976931348623157e+308,0,Tongue Width,2024-04-03 00:09:30.964957
50,-1.7976931348623157e+308,0,"Tongue Width, Upper",2024-04-03 00:09:30.976020
14,48.735,0,Tongue Leg Height,2024-04-03 00:09:30.910860
18,2.109,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.917870
23,-523.183,0,Clip length/Width,2024-04-03 00:09:30.922875
24,4.825,0,Clip length/Distance,2024-04-03 00:09:30.949432
32,29.876,0,Tongue Middle Leg Height,2024-04-03 00:09:30.953431
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.957943
43,-1.7976931348623157e+308,0,Tongue Width,2024-04-03 00:09:30.964957
50,-1.7976931348623157e+308,0,"Tongue Width, Upper",2024-04-03 00:09:30.976020
63,0.722,0,Groove Upper Bump Height,2024-04-03 00:09:30.982020
14,48.735,0,Tongue Leg Height,2024-04-03 00:09:30.910860
18,2.109,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.917870
23,-523.183,0,Clip length/Width,2024-04-03 00:09:30.922875
24,4.825,0,Clip length/Distance,2024-04-03 00:09:30.949432
32,29.876,0,Tongue Middle Leg Height,2024-04-03 00:09:30.953431
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.957943
43,-1.7976931348623157e+308,0,Tongue Width,2024-04-03 00:09:30.964957
50,-1.7976931348623157e+308,0,"Tongue Width, Upper",2024-04-03 00:09:30.976020
63,0.722,0,Groove Upper Bump Height,2024-04-03 00:09:30.982020
66,7.306,1,Groove upper Claw Height,2024-04-03 00:09:30.986019
14,48.735,0,Tongue Leg Height,2024-04-03 00:09:30.910860
18,2.109,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.917870
23,-523.183,0,Clip length/Width,2024-04-03 00:09:30.922875
