ID,Value,Decision,FeatureName,TimeStamp
14,48.716,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.256456
14,48.716,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.256456
18,2.092,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.262456
14,48.716,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.256456
18,2.092,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.262456
23,-422.222,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.267461
14,48.716,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.256456
18,2.092,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.262456
23,-422.222,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.267461
24,4.844,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.274014
14,48.716,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.256456
18,2.092,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.262456
23,-422.222,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.267461
24,4.844,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.274014
32,30.057,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.282031
14,48.716,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.256456
18,2.092,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.262456
23,-422.222,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.267461
24,4.844,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.274014
32,30.057,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.282031
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.285034
14,48.716,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.256456
18,2.092,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.262456
23,-422.222,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.267461
24,4.844,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.274014
32,30.057,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.282031
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.285034
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.288075
14,48.716,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.256456
18,2.092,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.262456
23,-422.222,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.267461
24,4.844,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.274014
32,30.057,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.282031
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.285034
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.288075
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.291074
14,48.716,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.256456
18,2.092,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.262456
23,-422.222,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.267461
24,4.844,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.274014
32,30.057,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.282031
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.285034
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.288075
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.291074
63,0.732,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.294073
14,48.716,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.256456
18,2.092,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.262456
23,-422.222,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.267461
24,4.844,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.274014
32,30.057,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.282031
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.285034
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.288075
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.291074
63,0.732,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.294073
66,7.293,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:42.298076
14,48.716,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.256456
18,2.092,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.262456
23,-422.222,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.267461
24,4.844,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.274014
32,30.057,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.282031
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.285034
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.288075
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.291074
