ID,Value,Decision,FeatureName,TimeStamp
14,48.778,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.694973
14,48.778,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.694973
18,2.379,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.700973
14,48.778,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.694973
18,2.379,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.700973
23,-133.151,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.705989
14,48.778,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.694973
18,2.379,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.700973
23,-133.151,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.705989
24,5.07,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.716539
14,48.778,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.694973
18,2.379,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.700973
23,-133.151,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.705989
24,5.07,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.716539
32,39.738,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.720521
14,48.778,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.694973
18,2.379,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.700973
23,-133.151,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.705989
24,5.07,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.716539
32,39.738,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.720521
38,4.074,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.724512
14,48.778,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.694973
18,2.379,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.700973
23,-133.151,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.705989
24,5.07,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.716539
32,39.738,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.720521
38,4.074,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.724512
43,10.908,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.727519
14,48.778,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.694973
18,2.379,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.700973
23,-133.151,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.705989
24,5.07,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.716539
32,39.738,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.720521
38,4.074,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.724512
43,10.908,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.727519
50,5.708,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.730520
14,48.778,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.694973
18,2.379,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.700973
23,-133.151,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.705989
24,5.07,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.716539
32,39.738,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.720521
38,4.074,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.724512
43,10.908,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.727519
50,5.708,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.730520
63,0.768,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.733520
14,48.778,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.694973
18,2.379,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.700973
23,-133.151,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.705989
24,5.07,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.716539
32,39.738,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.720521
