ID,Value,Decision,FeatureName,TimeStamp
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
38,4.159,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:44.021331
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
38,4.159,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:44.021331
43,11.061,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:44.028343
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
38,4.159,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:44.021331
43,11.061,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:44.028343
50,6.072,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:44.033341
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
38,4.159,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:44.021331
43,11.061,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:44.028343
50,6.072,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:44.033341
63,0.78,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:44.037341
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
38,4.159,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:44.021331
43,11.061,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:44.028343
50,6.072,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:44.033341
63,0.78,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:44.037341
66,7.031,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:44.040382
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
38,4.159,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:44.021331
43,11.061,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:44.028343
50,6.072,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:44.033341
63,0.78,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:44.037341
66,7.031,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:44.040382
68,46.304,1,"0    Groove Height
dtype: object",2024-04-03 00:02:44.043382
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
38,4.159,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:44.021331
43,11.061,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:44.028343
50,6.072,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:44.033341
63,0.78,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:44.037341
66,7.031,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:44.040382
68,46.304,1,"0    Groove Height
dtype: object",2024-04-03 00:02:44.043382
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:44.047383
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
38,4.159,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:44.021331
43,11.061,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:44.028343
50,6.072,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:44.033341
63,0.78,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:44.037341
66,7.031,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:44.040382
68,46.304,1,"0    Groove Height
dtype: object",2024-04-03 00:02:44.043382
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:44.047383
80,-1.7976931348623157e+308,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:44.051386
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
38,4.159,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:44.021331
43,11.061,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:44.028343
50,6.072,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:44.033341
63,0.78,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:44.037341
66,7.031,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:44.040382
68,46.304,1,"0    Groove Height
dtype: object",2024-04-03 00:02:44.043382
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:44.047383
80,-1.7976931348623157e+308,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:44.051386
90,35.465,0,"0    Groove Seat Distance, Inner
dtype: object",2024-04-03 00:02:44.068930
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
38,4.159,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:44.021331
43,11.061,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:44.028343
50,6.072,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:44.033341
63,0.78,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:44.037341
66,7.031,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:44.040382
68,46.304,1,"0    Groove Height
dtype: object",2024-04-03 00:02:44.043382
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:44.047383
80,-1.7976931348623157e+308,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:44.051386
90,35.465,0,"0    Groove Seat Distance, Inner
dtype: object",2024-04-03 00:02:44.068930
96,33.093,0,"0    Groove Seat Distance, Outer
dtype: object",2024-04-03 00:02:44.072933
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
38,4.159,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:44.021331
43,11.061,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:44.028343
50,6.072,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:44.033341
63,0.78,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:44.037341
66,7.031,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:44.040382
68,46.304,1,"0    Groove Height
dtype: object",2024-04-03 00:02:44.043382
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:44.047383
80,-1.7976931348623157e+308,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:44.051386
90,35.465,0,"0    Groove Seat Distance, Inner
dtype: object",2024-04-03 00:02:44.068930
96,33.093,0,"0    Groove Seat Distance, Outer
dtype: object",2024-04-03 00:02:44.072933
100,2.561,0,"0    Groove Radius, Lower Inner
dtype: object",2024-04-03 00:02:44.075928
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
38,4.159,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:44.021331
43,11.061,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:44.028343
50,6.072,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:44.033341
63,0.78,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:44.037341
66,7.031,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:44.040382
68,46.304,1,"0    Groove Height
dtype: object",2024-04-03 00:02:44.043382
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:44.047383
80,-1.7976931348623157e+308,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:44.051386
90,35.465,0,"0    Groove Seat Distance, Inner
dtype: object",2024-04-03 00:02:44.068930
96,33.093,0,"0    Groove Seat Distance, Outer
dtype: object",2024-04-03 00:02:44.072933
100,2.561,0,"0    Groove Radius, Lower Inner
dtype: object",2024-04-03 00:02:44.075928
103,1.494,1,"0    Groove Radius, Middle
dtype: object",2024-04-03 00:02:44.079928
14,48.144,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.990712
18,2.885,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.996711
23,-144.143,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:44.009793
24,5.478,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:44.013789
32,39.431,1,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:44.017788
38,4.159,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:44.021331
43,11.061,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:44.028343
50,6.072,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:44.033341
63,0.78,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:44.037341
66,7.031,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:44.040382
