ID,Value,Decision,FeatureName,TimeStamp
14,48.145,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.555589
14,48.145,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.555589
18,2.087,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.562586
14,48.145,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.555589
18,2.087,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.562586
23,-156.049,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.567588
14,48.145,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.555589
18,2.087,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.562586
23,-156.049,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.567588
24,5.4,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.570595
14,48.145,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.555589
18,2.087,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.562586
23,-156.049,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.567588
24,5.4,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.570595
32,39.519,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.574627
14,48.145,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.555589
18,2.087,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.562586
23,-156.049,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.567588
24,5.4,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.570595
32,39.519,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.574627
38,4.299,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.577628
14,48.145,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.555589
18,2.087,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.562586
23,-156.049,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.567588
24,5.4,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.570595
32,39.519,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.574627
38,4.299,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.577628
43,11.053,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.581628
14,48.145,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.555589
18,2.087,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.562586
23,-156.049,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.567588
24,5.4,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.570595
32,39.519,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.574627
38,4.299,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.577628
43,11.053,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.581628
50,6.058,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.585216
14,48.145,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.555589
18,2.087,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.562586
23,-156.049,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.567588
24,5.4,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.570595
32,39.519,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.574627
38,4.299,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.577628
43,11.053,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.581628
50,6.058,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.585216
63,0.744,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:43.591188
14,48.145,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.555589
18,2.087,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.562586
23,-156.049,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.567588
24,5.4,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.570595
32,39.519,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.574627
38,4.299,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.577628
43,11.053,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.581628
50,6.058,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.585216
