ID,Value,Decision,FeatureName,TimeStamp
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
23,-184.968,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.317411
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
23,-184.968,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.317411
24,5.227,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.325428
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
23,-184.968,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.317411
24,5.227,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.325428
32,39.502,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.330428
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
23,-184.968,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.317411
24,5.227,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.325428
32,39.502,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.330428
38,4.204,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.335638
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
23,-184.968,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.317411
24,5.227,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.325428
32,39.502,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.330428
38,4.204,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.335638
43,11.097,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.342626
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
23,-184.968,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.317411
24,5.227,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.325428
32,39.502,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.330428
38,4.204,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.335638
43,11.097,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.342626
50,6.18,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.346624
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
23,-184.968,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.317411
24,5.227,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.325428
32,39.502,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.330428
38,4.204,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.335638
43,11.097,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.342626
50,6.18,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.346624
63,0.742,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:43.350628
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
23,-184.968,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.317411
24,5.227,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.325428
32,39.502,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.330428
38,4.204,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.335638
43,11.097,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.342626
50,6.18,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.346624
63,0.742,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:43.350628
66,7.232,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:43.354628
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
23,-184.968,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.317411
24,5.227,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.325428
32,39.502,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.330428
38,4.204,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.335638
43,11.097,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.342626
50,6.18,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.346624
63,0.742,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:43.350628
66,7.232,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:43.354628
68,46.397,1,"0    Groove Height
dtype: object",2024-04-03 00:02:43.358631
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
23,-184.968,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.317411
24,5.227,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.325428
32,39.502,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.330428
38,4.204,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.335638
43,11.097,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.342626
50,6.18,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.346624
63,0.742,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:43.350628
66,7.232,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:43.354628
68,46.397,1,"0    Groove Height
dtype: object",2024-04-03 00:02:43.358631
77,4.12,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:43.362630
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
23,-184.968,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.317411
24,5.227,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.325428
32,39.502,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.330428
38,4.204,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.335638
43,11.097,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.342626
50,6.18,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.346624
63,0.742,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:43.350628
66,7.232,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:43.354628
68,46.397,1,"0    Groove Height
dtype: object",2024-04-03 00:02:43.358631
77,4.12,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:43.362630
80,12.041,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:43.372157
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
23,-184.968,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.317411
24,5.227,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.325428
32,39.502,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.330428
38,4.204,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.335638
43,11.097,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.342626
50,6.18,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.346624
63,0.742,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:43.350628
66,7.232,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:43.354628
68,46.397,1,"0    Groove Height
dtype: object",2024-04-03 00:02:43.358631
77,4.12,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:43.362630
80,12.041,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:43.372157
90,35.525,0,"0    Groove Seat Distance, Inner
dtype: object",2024-04-03 00:02:43.377153
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
18,2.078,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:43.311308
23,-184.968,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:43.317411
24,5.227,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:43.325428
32,39.502,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:43.330428
38,4.204,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.335638
43,11.097,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.342626
50,6.18,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.346624
63,0.742,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:43.350628
66,7.232,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:43.354628
68,46.397,1,"0    Groove Height
dtype: object",2024-04-03 00:02:43.358631
77,4.12,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:43.362630
80,12.041,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:43.372157
90,35.525,0,"0    Groove Seat Distance, Inner
dtype: object",2024-04-03 00:02:43.377153
96,32.996,0,"0    Groove Seat Distance, Outer
dtype: object",2024-04-03 00:02:43.383168
14,48.137,1,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:43.304084
