ID,Value,Decision,FeatureName,TimeStamp
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
18,-1.7976931348623157e+308,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:41.730113
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
18,-1.7976931348623157e+308,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:41.730113
23,-1.7976931348623157e+308,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:41.735144
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
18,-1.7976931348623157e+308,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:41.730113
23,-1.7976931348623157e+308,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:41.735144
24,-1.7976931348623157e+308,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:41.741709
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
18,-1.7976931348623157e+308,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:41.730113
23,-1.7976931348623157e+308,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:41.735144
24,-1.7976931348623157e+308,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:41.741709
32,-1.7976931348623157e+308,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:41.753707
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
18,-1.7976931348623157e+308,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:41.730113
23,-1.7976931348623157e+308,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:41.735144
24,-1.7976931348623157e+308,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:41.741709
32,-1.7976931348623157e+308,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:41.753707
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:41.758714
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
18,-1.7976931348623157e+308,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:41.730113
23,-1.7976931348623157e+308,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:41.735144
24,-1.7976931348623157e+308,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:41.741709
32,-1.7976931348623157e+308,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:41.753707
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:41.758714
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:41.762752
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
18,-1.7976931348623157e+308,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:41.730113
23,-1.7976931348623157e+308,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:41.735144
24,-1.7976931348623157e+308,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:41.741709
32,-1.7976931348623157e+308,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:41.753707
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:41.758714
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:41.762752
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:41.766744
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
18,-1.7976931348623157e+308,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:41.730113
23,-1.7976931348623157e+308,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:41.735144
24,-1.7976931348623157e+308,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:41.741709
32,-1.7976931348623157e+308,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:41.753707
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:41.758714
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:41.762752
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:41.766744
63,-1.7976931348623157e+308,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:41.771222
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
18,-1.7976931348623157e+308,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:41.730113
23,-1.7976931348623157e+308,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:41.735144
24,-1.7976931348623157e+308,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:41.741709
32,-1.7976931348623157e+308,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:41.753707
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:41.758714
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:41.762752
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:41.766744
63,-1.7976931348623157e+308,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:41.771222
66,-1.7976931348623157e+308,0,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:41.781238
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
18,-1.7976931348623157e+308,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:41.730113
23,-1.7976931348623157e+308,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:41.735144
24,-1.7976931348623157e+308,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:41.741709
32,-1.7976931348623157e+308,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:41.753707
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:41.758714
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:41.762752
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:41.766744
63,-1.7976931348623157e+308,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:41.771222
66,-1.7976931348623157e+308,0,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:41.781238
68,-1.7976931348623157e+308,0,"0    Groove Height
dtype: object",2024-04-03 00:02:41.786268
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
18,-1.7976931348623157e+308,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:41.730113
23,-1.7976931348623157e+308,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:41.735144
24,-1.7976931348623157e+308,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:41.741709
32,-1.7976931348623157e+308,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:41.753707
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:41.758714
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:41.762752
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:41.766744
63,-1.7976931348623157e+308,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:41.771222
66,-1.7976931348623157e+308,0,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:41.781238
68,-1.7976931348623157e+308,0,"0    Groove Height
dtype: object",2024-04-03 00:02:41.786268
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:41.790312
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
18,-1.7976931348623157e+308,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:41.730113
23,-1.7976931348623157e+308,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:41.735144
24,-1.7976931348623157e+308,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:41.741709
32,-1.7976931348623157e+308,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:41.753707
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:41.758714
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:41.762752
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:41.766744
63,-1.7976931348623157e+308,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:41.771222
66,-1.7976931348623157e+308,0,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:41.781238
68,-1.7976931348623157e+308,0,"0    Groove Height
dtype: object",2024-04-03 00:02:41.786268
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:41.790312
80,-1.7976931348623157e+308,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:41.795278
14,-1.7976931348623157e+308,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:41.713104
18,-1.7976931348623157e+308,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:41.730113
23,-1.7976931348623157e+308,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:41.735144
24,-1.7976931348623157e+308,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:41.741709
32,-1.7976931348623157e+308,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:41.753707
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:41.758714
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:41.762752
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:41.766744
