ID,Value,Decision,FeatureName,TimeStamp
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.506844
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.506844
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.510882
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.506844
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.510882
63,0.722,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.513888
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.506844
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.510882
63,0.722,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.513888
66,7.306,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:42.515878
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.506844
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.510882
63,0.722,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.513888
66,7.306,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:42.515878
68,-1.7976931348623157e+308,0,"0    Groove Height
dtype: object",2024-04-03 00:02:42.519844
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.506844
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.510882
63,0.722,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.513888
66,7.306,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:42.515878
68,-1.7976931348623157e+308,0,"0    Groove Height
dtype: object",2024-04-03 00:02:42.519844
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:42.526382
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.506844
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.510882
63,0.722,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.513888
66,7.306,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:42.515878
68,-1.7976931348623157e+308,0,"0    Groove Height
dtype: object",2024-04-03 00:02:42.519844
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:42.526382
80,-1.7976931348623157e+308,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:42.535409
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.506844
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.510882
63,0.722,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.513888
66,7.306,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:42.515878
68,-1.7976931348623157e+308,0,"0    Groove Height
dtype: object",2024-04-03 00:02:42.519844
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:42.526382
80,-1.7976931348623157e+308,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:42.535409
90,-1.7976931348623157e+308,0,"0    Groove Seat Distance, Inner
dtype: object",2024-04-03 00:02:42.539452
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.506844
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.510882
63,0.722,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.513888
66,7.306,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:42.515878
68,-1.7976931348623157e+308,0,"0    Groove Height
dtype: object",2024-04-03 00:02:42.519844
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:42.526382
80,-1.7976931348623157e+308,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:42.535409
90,-1.7976931348623157e+308,0,"0    Groove Seat Distance, Inner
dtype: object",2024-04-03 00:02:42.539452
96,-1.7976931348623157e+308,0,"0    Groove Seat Distance, Outer
dtype: object",2024-04-03 00:02:42.542448
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.506844
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.510882
63,0.722,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.513888
66,7.306,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:42.515878
68,-1.7976931348623157e+308,0,"0    Groove Height
dtype: object",2024-04-03 00:02:42.519844
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:42.526382
80,-1.7976931348623157e+308,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:42.535409
90,-1.7976931348623157e+308,0,"0    Groove Seat Distance, Inner
dtype: object",2024-04-03 00:02:42.539452
96,-1.7976931348623157e+308,0,"0    Groove Seat Distance, Outer
dtype: object",2024-04-03 00:02:42.542448
100,0.654,0,"0    Groove Radius, Lower Inner
dtype: object",2024-04-03 00:02:42.545482
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.506844
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.510882
63,0.722,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.513888
66,7.306,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:42.515878
68,-1.7976931348623157e+308,0,"0    Groove Height
dtype: object",2024-04-03 00:02:42.519844
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:42.526382
80,-1.7976931348623157e+308,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:42.535409
90,-1.7976931348623157e+308,0,"0    Groove Seat Distance, Inner
dtype: object",2024-04-03 00:02:42.539452
96,-1.7976931348623157e+308,0,"0    Groove Seat Distance, Outer
dtype: object",2024-04-03 00:02:42.542448
100,0.654,0,"0    Groove Radius, Lower Inner
dtype: object",2024-04-03 00:02:42.545482
103,0.721,0,"0    Groove Radius, Middle
dtype: object",2024-04-03 00:02:42.548416
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.506844
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.510882
63,0.722,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.513888
66,7.306,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:42.515878
68,-1.7976931348623157e+308,0,"0    Groove Height
dtype: object",2024-04-03 00:02:42.519844
77,-1.7976931348623157e+308,0,"0    Groove Width, Outer
dtype: object",2024-04-03 00:02:42.526382
80,-1.7976931348623157e+308,0,"0    Groove Width, Inner
dtype: object",2024-04-03 00:02:42.535409
90,-1.7976931348623157e+308,0,"0    Groove Seat Distance, Inner
dtype: object",2024-04-03 00:02:42.539452
96,-1.7976931348623157e+308,0,"0    Groove Seat Distance, Outer
dtype: object",2024-04-03 00:02:42.542448
100,0.654,0,"0    Groove Radius, Lower Inner
dtype: object",2024-04-03 00:02:42.545482
103,0.721,0,"0    Groove Radius, Middle
dtype: object",2024-04-03 00:02:42.548416
106,-1.7976931348623157e+308,0,"0    Groove Radius, Upper Outer
dtype: object",2024-04-03 00:02:42.552447
14,48.735,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.477314
18,2.109,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.483315
23,-523.183,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.487324
24,4.825,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.491839
32,29.876,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.499879
38,-1.7976931348623157e+308,0,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:42.503869
43,-1.7976931348623157e+308,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:42.506844
50,-1.7976931348623157e+308,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:42.510882
63,0.722,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:42.513888
