ID,Value,Decision,FeatureName,TimeStamp
14,48.787,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.932697
14,48.787,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.932697
18,2.29,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.939700
14,48.787,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.932697
18,2.29,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.939700
23,-131.291,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.980268
14,48.787,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.932697
18,2.29,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.939700
23,-131.291,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.980268
24,5.101,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.986277
14,48.787,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.932697
18,2.29,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.939700
23,-131.291,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.980268
24,5.101,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.986277
32,39.499,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.992824
14,48.787,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.932697
18,2.29,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.939700
23,-131.291,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.980268
24,5.101,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.986277
32,39.499,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.992824
38,4.122,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.000826
14,48.787,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.932697
18,2.29,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.939700
23,-131.291,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.980268
24,5.101,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.986277
32,39.499,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.992824
38,4.122,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.000826
43,10.893,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.006843
14,48.787,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.932697
18,2.29,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.939700
23,-131.291,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.980268
24,5.101,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.986277
32,39.499,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.992824
38,4.122,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.000826
43,10.893,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.006843
50,5.64,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.011853
14,48.787,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.932697
18,2.29,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.939700
23,-131.291,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.980268
24,5.101,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.986277
32,39.499,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.992824
38,4.122,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.000826
43,10.893,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.006843
50,5.64,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.011853
63,-1.7976931348623157e+308,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:43.050090
14,48.787,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.932697
18,2.29,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.939700
23,-131.291,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.980268
24,5.101,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.986277
32,39.499,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.992824
38,4.122,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.000826
43,10.893,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.006843
50,5.64,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.011853
63,-1.7976931348623157e+308,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:43.050090
66,7.071,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:43.056645
14,48.787,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.932697
18,2.29,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.939700
23,-131.291,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.980268
24,5.101,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.986277
32,39.499,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.992824
38,4.122,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.000826
43,10.893,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.006843
50,5.64,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.011853
63,-1.7976931348623157e+308,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:43.050090
66,7.071,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:43.056645
68,44.799,1,"0    Groove Height
dtype: object",2024-04-03 00:02:43.060645
14,48.787,0,"0    Tongue Leg Height
dtype: object",2024-04-03 00:02:42.932697
18,2.29,0,"0    Groove Radius, Lower Outer
dtype: object",2024-04-03 00:02:42.939700
23,-131.291,0,"0    Clip length/Width
dtype: object",2024-04-03 00:02:42.980268
24,5.101,0,"0    Clip length/Distance
dtype: object",2024-04-03 00:02:42.986277
32,39.499,0,"0    Tongue Middle Leg Height
dtype: object",2024-04-03 00:02:42.992824
38,4.122,1,"0    Tongue Lower Leg Height
dtype: object",2024-04-03 00:02:43.000826
43,10.893,0,"0    Tongue Width
dtype: object",2024-04-03 00:02:43.006843
50,5.64,0,"0    Tongue Width, Upper
dtype: object",2024-04-03 00:02:43.011853
63,-1.7976931348623157e+308,0,"0    Groove Upper Bump Height
dtype: object",2024-04-03 00:02:43.050090
66,7.071,1,"0    Groove upper Claw Height
dtype: object",2024-04-03 00:02:43.056645
