ID,Value,Decision,FeatureName,TimeStamp
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.653743
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.653743
18,2.885,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.661784
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.653743
18,2.885,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.661784
23,-144.143,0,Clip length/Width,2024-04-03 00:09:31.667792
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.653743
18,2.885,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.661784
23,-144.143,0,Clip length/Width,2024-04-03 00:09:31.667792
24,5.478,0,Clip length/Distance,2024-04-03 00:09:31.672783
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.653743
18,2.885,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.661784
23,-144.143,0,Clip length/Width,2024-04-03 00:09:31.667792
24,5.478,0,Clip length/Distance,2024-04-03 00:09:31.672783
32,39.431,1,Tongue Middle Leg Height,2024-04-03 00:09:31.680313
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.653743
18,2.885,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.661784
23,-144.143,0,Clip length/Width,2024-04-03 00:09:31.667792
24,5.478,0,Clip length/Distance,2024-04-03 00:09:31.672783
32,39.431,1,Tongue Middle Leg Height,2024-04-03 00:09:31.680313
38,4.159,1,Tongue Lower Leg Height,2024-04-03 00:09:31.687347
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.653743
18,2.885,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.661784
23,-144.143,0,Clip length/Width,2024-04-03 00:09:31.667792
24,5.478,0,Clip length/Distance,2024-04-03 00:09:31.672783
32,39.431,1,Tongue Middle Leg Height,2024-04-03 00:09:31.680313
38,4.159,1,Tongue Lower Leg Height,2024-04-03 00:09:31.687347
43,11.061,0,Tongue Width,2024-04-03 00:09:31.692355
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.653743
18,2.885,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.661784
23,-144.143,0,Clip length/Width,2024-04-03 00:09:31.667792
24,5.478,0,Clip length/Distance,2024-04-03 00:09:31.672783
32,39.431,1,Tongue Middle Leg Height,2024-04-03 00:09:31.680313
38,4.159,1,Tongue Lower Leg Height,2024-04-03 00:09:31.687347
43,11.061,0,Tongue Width,2024-04-03 00:09:31.692355
50,6.072,0,"Tongue Width, Upper",2024-04-03 00:09:31.696374
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.653743
18,2.885,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.661784
23,-144.143,0,Clip length/Width,2024-04-03 00:09:31.667792
24,5.478,0,Clip length/Distance,2024-04-03 00:09:31.672783
32,39.431,1,Tongue Middle Leg Height,2024-04-03 00:09:31.680313
38,4.159,1,Tongue Lower Leg Height,2024-04-03 00:09:31.687347
43,11.061,0,Tongue Width,2024-04-03 00:09:31.692355
50,6.072,0,"Tongue Width, Upper",2024-04-03 00:09:31.696374
63,0.78,0,Groove Upper Bump Height,2024-04-03 00:09:31.700401
14,48.144,1,Tongue Leg Height,2024-04-03 00:09:31.653743
18,2.885,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.661784
23,-144.143,0,Clip length/Width,2024-04-03 00:09:31.667792
24,5.478,0,Clip length/Distance,2024-04-03 00:09:31.672783
32,39.431,1,Tongue Middle Leg Height,2024-04-03 00:09:31.680313
38,4.159,1,Tongue Lower Leg Height,2024-04-03 00:09:31.687347
43,11.061,0,Tongue Width,2024-04-03 00:09:31.692355
