ID,Value,Decision,FeatureName,TimeStamp
14,-1.7976931348623157e+308,0,Tongue Leg Height,2024-04-03 00:09:30.421773
14,-1.7976931348623157e+308,0,Tongue Leg Height,2024-04-03 00:09:30.421773
18,-1.7976931348623157e+308,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.439299
14,-1.7976931348623157e+308,0,Tongue Leg Height,2024-04-03 00:09:30.421773
18,-1.7976931348623157e+308,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.439299
23,-1.7976931348623157e+308,0,Clip length/Width,2024-04-03 00:09:30.444310
14,-1.7976931348623157e+308,0,Tongue Leg Height,2024-04-03 00:09:30.421773
18,-1.7976931348623157e+308,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.439299
23,-1.7976931348623157e+308,0,Clip length/Width,2024-04-03 00:09:30.444310
24,-1.7976931348623157e+308,0,Clip length/Distance,2024-04-03 00:09:30.451331
14,-1.7976931348623157e+308,0,Tongue Leg Height,2024-04-03 00:09:30.421773
18,-1.7976931348623157e+308,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.439299
23,-1.7976931348623157e+308,0,Clip length/Width,2024-04-03 00:09:30.444310
24,-1.7976931348623157e+308,0,Clip length/Distance,2024-04-03 00:09:30.451331
32,-1.7976931348623157e+308,0,Tongue Middle Leg Height,2024-04-03 00:09:30.455308
14,-1.7976931348623157e+308,0,Tongue Leg Height,2024-04-03 00:09:30.421773
18,-1.7976931348623157e+308,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.439299
23,-1.7976931348623157e+308,0,Clip length/Width,2024-04-03 00:09:30.444310
24,-1.7976931348623157e+308,0,Clip length/Distance,2024-04-03 00:09:30.451331
32,-1.7976931348623157e+308,0,Tongue Middle Leg Height,2024-04-03 00:09:30.455308
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.458878
14,-1.7976931348623157e+308,0,Tongue Leg Height,2024-04-03 00:09:30.421773
18,-1.7976931348623157e+308,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.439299
23,-1.7976931348623157e+308,0,Clip length/Width,2024-04-03 00:09:30.444310
24,-1.7976931348623157e+308,0,Clip length/Distance,2024-04-03 00:09:30.451331
32,-1.7976931348623157e+308,0,Tongue Middle Leg Height,2024-04-03 00:09:30.455308
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.458878
43,-1.7976931348623157e+308,0,Tongue Width,2024-04-03 00:09:30.464879
14,-1.7976931348623157e+308,0,Tongue Leg Height,2024-04-03 00:09:30.421773
18,-1.7976931348623157e+308,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.439299
23,-1.7976931348623157e+308,0,Clip length/Width,2024-04-03 00:09:30.444310
24,-1.7976931348623157e+308,0,Clip length/Distance,2024-04-03 00:09:30.451331
32,-1.7976931348623157e+308,0,Tongue Middle Leg Height,2024-04-03 00:09:30.455308
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.458878
43,-1.7976931348623157e+308,0,Tongue Width,2024-04-03 00:09:30.464879
50,-1.7976931348623157e+308,0,"Tongue Width, Upper",2024-04-03 00:09:30.471907
14,-1.7976931348623157e+308,0,Tongue Leg Height,2024-04-03 00:09:30.421773
18,-1.7976931348623157e+308,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.439299
23,-1.7976931348623157e+308,0,Clip length/Width,2024-04-03 00:09:30.444310
24,-1.7976931348623157e+308,0,Clip length/Distance,2024-04-03 00:09:30.451331
32,-1.7976931348623157e+308,0,Tongue Middle Leg Height,2024-04-03 00:09:30.455308
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.458878
43,-1.7976931348623157e+308,0,Tongue Width,2024-04-03 00:09:30.464879
50,-1.7976931348623157e+308,0,"Tongue Width, Upper",2024-04-03 00:09:30.471907
63,-1.7976931348623157e+308,0,Groove Upper Bump Height,2024-04-03 00:09:30.477001
14,-1.7976931348623157e+308,0,Tongue Leg Height,2024-04-03 00:09:30.421773
18,-1.7976931348623157e+308,0,"Groove Radius, Lower Outer",2024-04-03 00:09:30.439299
23,-1.7976931348623157e+308,0,Clip length/Width,2024-04-03 00:09:30.444310
24,-1.7976931348623157e+308,0,Clip length/Distance,2024-04-03 00:09:30.451331
32,-1.7976931348623157e+308,0,Tongue Middle Leg Height,2024-04-03 00:09:30.455308
38,-1.7976931348623157e+308,0,Tongue Lower Leg Height,2024-04-03 00:09:30.458878
43,-1.7976931348623157e+308,0,Tongue Width,2024-04-03 00:09:30.464879
50,-1.7976931348623157e+308,0,"Tongue Width, Upper",2024-04-03 00:09:30.471907
63,-1.7976931348623157e+308,0,Groove Upper Bump Height,2024-04-03 00:09:30.477001
